drink_type,true_hour,percentage
tea,0,0.00039875860999448427
tea,1,0.000398614210764251
tea,2,0.00038847200441154654
tea,3,0.0004143278947345467
tea,4,0.00038536915915122555
tea,5,0.00038616674049937386
tea,6,0.0004001594490363419
tea,7,0.0004621994201170344
tea,8,0.0004908660346902923
tea,9,0.0005078430263093424
tea,10,0.0005008282501643516
tea,11,0.0004852061699591426
tea,12,0.00046848966400998984
tea,13,0.0004522673271391272
tea,14,0.00045241385576961433
tea,15,0.00045939983327580744
tea,16,0.0004634403532502452
tea,17,0.00046558273114103365
tea,18,0.000443884121155276
tea,19,0.0004292540974496299
tea,20,0.00043306068417207455
tea,21,0.00044470440406719033
tea,22,0.00043347927878492295
tea,23,0.0004134031767212293
soft drink,0,0.00034230122002932293
soft drink,1,0.0003359088154814909
soft drink,2,0.00033647388792813044
soft drink,3,0.00031765138596315246
soft drink,4,0.0003071815436240116
soft drink,5,0.0003028624495524049
soft drink,6,0.00030910060177603176
soft drink,7,0.00030773225370600994
soft drink,8,0.0002891585437859295
soft drink,9,0.00029119393805672255
soft drink,10,0.00030973959322802986
soft drink,11,0.00032447009559530114
soft drink,12,0.00035465375428446656
soft drink,13,0.0003684211883583644
soft drink,14,0.00036524276498762874
soft drink,15,0.00035060523304045584
soft drink,16,0.0003436112128718236
soft drink,17,0.00034445862299847503
soft drink,18,0.0003355064355960326
soft drink,19,0.00033516947510010196
soft drink,20,0.0003335431742874747
soft drink,21,0.00033244424572736873
soft drink,22,0.00032841638019721767
soft drink,23,0.00034173004228403987
healthy drink,0,0.0006771653268329946
healthy drink,1,0.0006951056173613479
healthy drink,2,0.0006869017007859877
healthy drink,3,0.0006665590867922443
healthy drink,4,0.0006504496790298142
healthy drink,5,0.000645208850704332
healthy drink,6,0.0006877440362698531
healthy drink,7,0.0007002110850927764
healthy drink,8,0.0006848108801238918
healthy drink,9,0.0007246916991665247
healthy drink,10,0.000690806423175697
healthy drink,11,0.0006889896865246824
healthy drink,12,0.0006686415078230768
healthy drink,13,0.0006326445567023975
healthy drink,14,0.0006327772743734715
healthy drink,15,0.0006160317623716011
healthy drink,16,0.0006222683122674934
healthy drink,17,0.0006430658485928269
healthy drink,18,0.0006506279754107497
healthy drink,19,0.00063683318992234
healthy drink,20,0.0006276189597013775
healthy drink,21,0.0006389674763530962
healthy drink,22,0.0006669313151774594
healthy drink,23,0.0006898863092030844
coffee,0,0.0006631318175289396
coffee,1,0.0007005425013454022
coffee,2,0.0007491677997648632
coffee,3,0.0008086662857757599
coffee,4,0.000975897275284115
coffee,5,0.0011477733675953612
coffee,6,0.0015414687561534361
coffee,7,0.0018555593754958576
coffee,8,0.0019371439189618627
coffee,9,0.00184875219206266
coffee,10,0.0016203668902213177
coffee,11,0.0013422346219354546
coffee,12,0.0010964651710872102
coffee,13,0.0010101264250620082
coffee,14,0.0009668875069389625
coffee,15,0.000919270638847006
coffee,16,0.0008976974689042063
coffee,17,0.0008585037338958111
coffee,18,0.0007859643840890702
coffee,19,0.0007506632770099079
coffee,20,0.0007065022806181777
coffee,21,0.0006817997856939124
coffee,22,0.00065351398652208
coffee,23,0.0006587916738724166
